date	day	brand	format	link	status	text_summary
17.03.2026	Tuesday	AADS	Mini offer / checklist	figma Liza	Published	Published breakdown of every major crypto ad network 2026 — CPMs, case data, comparisons
17.03.2026	Tuesday	SLISE	Market Insight	figma Liza	Published	NASDAQ+Kraken, NYSE blockchain trading, ICE invested in OKX — TradFi entering onchain, Slise reaches them
19.03.2026	Thursday	MAADS	Hot take (light)	figma	Published	Kris Marszalek spent Super Bowl money on AI.com — crypto brands competing with AI platforms for attention
20.03.2026	Friday	AADS	Step-by-step logic	figma	Published	Static banners work, animated better — GIF/WebM outperform on CTR, always A/B test two creatives
20.03.2026	Friday	MAADS	Mistakes & Patterns	figma	Published	"Crypto audience" is not one audience — researcher, speculator, actual buyer — separate before spending
21.03.2026	Saturday	AADS	Mini offer / checklist	figma	Published	AADS referral program — 10% of everything referred advertiser spends for 6 months
21.03.2026	Saturday	SLISE	Contrarian take	figma	Published	Solana 5M+ daily active — Solscan, BirdEye, GeckoTerminal all Slise publishers, chain = targeting
24.03.2026	Tuesday	MAADS	Market Insight	figma	Published	X killed paid gambling influencer deals Feb 2026 — demand concentrates in specialized networks
24.03.2026	Tuesday	SLISE	Results breakdown	figma	Published	Teams quietly shipping real monetization — Etherscan→Birdeye→DexTools loop, QuickNode 0.46% CTR
25.03.2026	Wednesday	WELLDONE	Results breakdown	figma	Published	30+ senior engineers, day one code ownership, T&M only, no vendor lock-in, CX embedded in sprints
30.03.2026	Monday	AADS	Market Insight	figma	Published	Crypto startups raised $25B+ in 2025 (~2x 2024) — Binance $2B, Kraken $1.3B — can't run ads on Google/Meta
31.03.2026	Tuesday	MAADS	Market Insight	figma	Published	TradFi entering onchain — NASDAQ, NYSE, ICE building infrastructure, reach them before inventory crowds
01.04.2026	Wednesday	WELLDONE	Hot take (light)	figma	Published	One rate for whole team, AI embedded in engineering workflow, monthly flexibility, no change-request fees
02.04.2026	Thursday	MAADS	Mistakes & Patterns	figma	Published	Every agency says they know your audience — we own the pipes. AADS since 2011, Slise onchain targeting
02.04.2026	Thursday	SLISE	Results breakdown	figma	Published	Interest targeting vs wallet targeting — wallet campaigns up to ~20x ROAS vs 2-4x standard programmatic
03.04.2026	Friday	WELLDONE	Hot take (light)	figma	Published	41% of code AI-generated, 45% contains security vulnerabilities — gains only hold with senior engineer ownership
03.04.2026	Friday	MAADS	Market Insight	figma	Published	Exchanges pay users to learn (Binance Learn & Earn, OKX Learn) — educational modules as acquisition infrastructure
06.04.2026	Monday	WELLDONE	Market Insight	figma	Published	EU AI Act kicks in Aug 2 2026 for high-risk systems — credit scoring, fraud detection, penalties up to €35M/7%
06.04.2026	Monday	AADS	Hot take (light)	figma	Published	Meta adds location-based surcharges on EU impressions July 1 2026 — AADS has no location surcharges
07.04.2026	Tuesday	MAADS	Market Insight	figma	Published	2026 World Cup largest iGaming acquisition window — CPM spikes Q2-Q3, lock placements now
09.04.2026	Thursday	WELLDONE	Results breakdown	figma	Under review	Don't pitch hypothetical roadmaps — AADS, Slise, e-commerce running in production, 30+ engineers
09.04.2026	Thursday	MAADS	Contrarian take	figma	Visual in production	Polymarket $1.25B in user wallets, ~$54M/yr potential interest — financial architecture as growth strategy
09.04.2026	Thursday	SLISE	Market Insight	figma	Visual in production	SEC Chair Atkins new DeFi regulatory framework — more DeFi projects with legal backing, Slise reaches them
10.04.2026	Friday	WELLDONE	Hot take (light)	figma	Visual in production	CX Engineering — sprint-integrated CX vs phase-based CX, engineers with user flow context write better code
10.04.2026	Friday	MAADS	Results breakdown	figma	Visual in production	Whale.io CPM $0.04 CPC $2.01 — 14 campaigns, A/B tested on Slise and AADS, crypto-gaming 10-50x cheaper
11.04.2026	Saturday	WELLDONE	Mini offer / checklist	figma	Visual in production	Publishers — AADS runs auctions, advertisers fight for impressions, one HTML embed
11.04.2026	Saturday	AADS	Contrarian take	figma	Visual in production	DexScreener, Poocoin, Dexview, Apespace — tools traders leave open all day, banner next to the data
14.04.2026	Monday	AADS	Market Insight	figma	Visual in production	Australia passed first comprehensive crypto licensing law — Australian crypto projects need compliant marketing
14.04.2026	Monday	MAADS	Market Insight	figma	Visual in production	(pending)
15.04.2026	Tuesday	WELLDONE	(pending)	figma	(pending)	(pending)
15.04.2026	Tuesday	MAADS	(pending)	figma	(pending)	(pending)
15.04.2026	Tuesday	SLISE	(pending)	figma	(pending)	(pending)
10.04.2026	Friday	WELLDONE	(pending)	figma	(pending)	(pending)
10.04.2026	Friday	MAADS	(pending)	figma	(pending)	(pending)
12.04.2026	Sunday	WELLDONE	(pending)	figma	(pending)	(pending)
13.04.2026	Monday	AADS	(pending)	figma	(pending)	(pending)
